year,month,tavg
1986,5,15.651612903225805
1986,6,21.89
1986,7,23.141935483870967
1986,8,24.493548387096773
1986,9,20.796666666666667
1986,10,15.248387096774193
1986,11,9.56
1986,12,6.883870967741935
1987,1,5.738709677419355
1987,2,6.714285714285714
1987,3,4.122580645161291
1987,4,10.233333333333333
1987,5,15.30967741935484
1987,6,20.733333333333334
1987,7,23.932258064516127
1987,8,22.261290322580646
1987,9,20.88
1987,10,14.77741935483871
1987,11,11.81
1987,12,7.606451612903226
1988,1,7.1
1988,2,6.324137931034483
1988,3,8.841935483870968
1988,4,11.226666666666667
1988,5,15.932258064516128
1988,6,21.66
1988,7,24.712903225806453
1988,8,24.154838709677417
1988,9,20.52
1988,10,15.02258064516129
1988,11,8.47
1988,12,7.416129032258064
1989,1,4.519354838709678
1989,2,6.521428571428571
1989,3,9.548387096774194
1989,4,14.813333333333333
1989,5,16.383870967741938
1989,6,20.69333333333333
1989,7,23.0258064516129
1989,8,23.845161290322583
1989,9,20.506666666666668
1989,10,14.948387096774193
1989,11,10.186666666666667
1989,12,7.754838709677419
1990,1,4.593548387096774
1990,2,6.371428571428572
1990,3,8.893548387096773
1990,4,12.97
1990,5,15.687096774193549
1990,6,20.433333333333334
1990,7,23.406451612903226
1990,8,23.42258064516129
1990,9,19.563333333333333
1990,10,16.14516129032258
1990,11,13.966666666666667
1990,12,9.09032258064516
1991,1,5.819354838709677
1991,2,4.871428571428572
1991,3,6.72258064516129
1991,4,11.06
1991,5,15.490322580645161
1991,6,20.41
1991,7,23.364516129032257
1991,8,23.75483870967742
1991,9,19.55666666666667
1991,10,16.30322580645161
1991,11,11.726666666666667
1991,12,4.980645161290322
1992,1,4.77741935483871
1992,2,3.2896551724137932
1992,3,7.254838709677419
1992,4,11.883333333333333
1992,5,14.606451612903227
1992,6,20.95
1992,7,21.845161290322583
1992,8,24.648387096774194
1992,9,20.026666666666664
1992,10,18.02258064516129
1992,11,10.97
1992,12,5.658064516129032
1993,1,4.52258064516129
1993,2,3.5035714285714286
1993,3,6.774193548387097
1993,4,11.203333333333335
1993,5,15.196774193548388
1993,6,21.15666666666667
1993,7,22.483870967741936
1993,8,23.40967741935484
1993,9,20.083333333333332
1993,10,17.683870967741935
1993,11,9.836666666666668
1993,12,9.37741935483871
1994,1,7.674193548387097
1994,2,6.039285714285714
1994,3,8.36774193548387
1994,4,13.603333333333333
1994,5,17.358064516129033
1994,6,20.456666666666667
1994,7,23.980645161290322
1994,8,24.432258064516127
1994,9,23.446666666666665
1994,10,18.538709677419355
1994,11,10.553333333333335
1994,12,7.093548387096774
1995,1,6.754838709677419
1995,2,7.8500000000000005
1995,3,8.903225806451612
1995,4,11.639999999999999
1995,5,16.809677419354838
1995,6,22.64
1995,7,23.05806451612903
1995,8,23.296774193548387
1995,9,20.263333333333332
1995,10,14.848387096774195
1995,11,9.16
1995,12,7.987096774193549
1996,1,4.641935483870968
1996,2,5.610344827586206
1996,3,5.17741935483871
1996,4,9.816666666666666
1996,5,18.161290322580644
1996,6,20.886666666666667
1996,7,23.61935483870968
1996,8,23.141935483870967
1996,9,19.35
1996,10,14.422580645161291
1996,11,12.366666666666667
1996,12,9.86774193548387
1997,1,6.651612903225806
1997,2,5.167857142857143
1997,3,5.774193548387097
1997,4,9.120000000000001
1997,5,16.4
1997,6,20.60666666666667
1997,7,23.483870967741936
1997,8,21.45483870967742
1997,9,17.596666666666668
1997,10,14.764516129032257
1997,11,11.353333333333333
1997,12,8.422580645161291
1998,1,6.506451612903225
1998,2,6.375
1998,3,6.196774193548387
1998,4,13.333333333333334
1998,5,15.925806451612903
1998,6,21.263333333333332
1998,7,23.725806451612904
1998,8,24.603225806451615
1998,9,20.366666666666667
1998,10,17.432258064516127
1998,11,12.113333333333333
1998,12,6.906451612903226
1999,1,7.209677419354839
1999,2,6.510714285714286
1999,3,8.741935483870968
1999,4,13.543333333333333
1999,5,17.051612903225806
1999,6,21.529999999999998
1999,7,24.193548387096776
1999,8,24.19677419354839
1999,9,20.85
1999,10,16.74516129032258
1999,11,11.620000000000001
1999,12,10.583870967741936
2000,1,3.564516129032258
2000,2,6.127586206896551
2000,3,7.5
2000,4,13.376666666666667
2000,5,16.0
2000,6,20.333333333333332
2000,7,24.200000000000003
2000,8,23.738709677419354
2000,9,20.653333333333332
2000,10,15.596774193548388
2000,11,13.34
2000,12,9.12258064516129
2001,1,7.941935483870967
2001,2,7.507142857142857
2001,3,11.874193548387098
2001,4,12.943333333333333
2001,5,16.27741935483871
2001,6,21.253333333333334
2001,7,25.416129032258063
2001,8,24.98709677419355
2001,9,21.756666666666668
2001,10,16.925806451612903
2001,11,11.216666666666667
2001,12,5.441935483870968
2002,1,4.590322580645162
2002,2,8.446428571428571
2002,3,8.958064516129031
2002,4,10.526666666666667
2002,5,16.161290322580644
2002,6,21.529999999999998
2002,7,25.603225806451615
2002,8,24.032258064516128
2002,9,20.596666666666668
2002,10,16.65806451612903
2002,11,12.923333333333334
2002,12,6.429032258064517
2003,1,7.754838709677419
2003,2,2.835714285714286
2003,3,4.851612903225806
2003,4,8.943333333333333
2003,5,17.070967741935487
2003,6,22.146666666666665
2003,7,24.141935483870967
2003,8,24.816129032258065
2003,9,19.546666666666667
2003,10,16.72258064516129
2003,11,11.283333333333333
2003,12,7.632258064516129
2004,1,5.148387096774194
2004,2,5.8310344827586205
2004,3,8.393548387096773
2004,4,12.053333333333335
2004,5,16.183870967741935
2004,6,20.846666666666668
2004,7,23.116129032258065
2004,8,23.387096774193548
2004,9,20.8
2004,10,17.6
2004,11,12.366666666666667
2004,12,8.754838709677419
2005,1,7.148387096774194
2005,2,6.192857142857143
2005,3,7.283870967741936
2005,4,12.006666666666666
2005,5,16.358064516129033
2005,6,20.44
2005,7,23.693548387096776
2005,8,24.870967741935484
2005,9,21.103333333333335
2005,10,15.058064516129033
2005,11,10.526666666666667
2005,12,8.609677419354838
2006,1,4.258064516129032
2006,2,5.392857142857143
2006,3,8.370967741935484
2006,4,12.19
2006,5,16.52258064516129
2006,6,21.543333333333333
2006,7,23.470967741935485
2006,8,25.716129032258067
2006,9,20.873333333333335
2006,10,17.0258064516129
2006,11,10.763333333333332
2006,12,7.712903225806452
2007,1,8.258064516129032
2007,2,7.214285714285714
2007,3,8.899999999999999
2007,4,11.056666666666667
2007,5,18.125806451612902
2007,6,23.55
2007,7,24.92258064516129
2007,8,25.40967741935484
2007,9,20.886666666666667
2007,10,17.129032258064516
2007,11,11.123333333333333
2007,12,7.216129032258064
2008,1,4.480645161290322
2008,2,5.810344827586207
2008,3,10.77741935483871
2008,4,13.873333333333333
2008,5,16.809677419354838
2008,6,22.23
2008,7,24.16774193548387
2008,8,25.151612903225807
2008,9,20.5
2008,10,16.45483870967742
2008,11,12.863333333333333
2008,12,8.587096774193547
2009,1,6.967741935483871
2009,2,6.9750000000000005
2009,3,8.029032258064516
2009,4,11.036666666666667
2009,5,17.13225806451613
2009,6,22.46333333333333
2009,7,24.89032258064516
2009,8,23.81935483870968
2009,9,20.573333333333334
2009,10,18.067741935483873
2009,11,12.370000000000001
2009,12,10.035483870967743
2010,1,6.741935483870968
2010,2,8.085714285714285
2010,3,8.116129032258064
2010,4,12.22
2010,5,17.996774193548386
2010,6,21.766666666666666
2010,7,24.467741935483872
2010,8,26.73225806451613
2010,9,21.616666666666667
2010,10,15.119354838709677
2010,11,15.18
2010,12,9.903225806451612
2011,1,6.32258064516129
2011,2,5.8
2011,3,7.290322580645161
2011,4,9.523333333333333
2011,5,15.351612903225806
2011,6,21.016666666666666
2011,7,25.05483870967742
2011,8,23.490322580645163
2011,9,22.18
2011,10,14.696774193548388
2011,11,9.07
2011,12,8.5
2012,1,4.664516129032258
2012,2,3.6551724137931036
2012,3,6.941935483870967
2012,4,13.58
2012,5,17.603225806451615
2012,6,23.35
2012,7,26.093548387096774
2012,8,25.187096774193545
2012,9,22.30666666666667
2012,10,19.58709677419355
2012,11,14.629999999999999
2012,12,8.290322580645162
2013,1,6.990322580645161
2013,2,8.032142857142857
2013,3,9.64516129032258
2013,4,12.906666666666666
2013,5,19.348387096774193
